Period,Scenario,LoadLevel,Demand
2027,WS003,01-17 07:00:00+01:00,3781.761848
2027,WS003,01-17 08:00:00+01:00,3979.365044
2027,WS003,01-17 09:00:00+01:00,4149.763489
2027,WS003,01-17 10:00:00+01:00,4152.868615
2027,WS003,01-17 11:00:00+01:00,4190.815313
2027,WS003,01-17 12:00:00+01:00,4210.832951
2027,WS003,01-17 13:00:00+01:00,4188.326187
2027,WS003,01-17 14:00:00+01:00,4105.738906
2027,WS003,01-17 15:00:00+01:00,4087.740898
2027,WS003,01-17 16:00:00+01:00,4074.821427
2027,WS003,01-17 17:00:00+01:00,4171.634731
2027,WS003,01-17 18:00:00+01:00,4269.199582
2027,WS003,01-17 19:00:00+01:00,4254.267497
2027,WS003,01-17 20:00:00+01:00,4104.357564
2027,WS003,01-17 21:00:00+01:00,3829.210393
2027,WS003,01-17 22:00:00+01:00,3530.661433
2027,WS003,01-17 23:00:00+01:00,3240.254004
2027,WS003,01-18 00:00:00+01:00,2998.835582
2027,WS003,01-18 01:00:00+01:00,2835.99607
2027,WS003,01-18 02:00:00+01:00,2747.298555
2027,WS003,01-18 03:00:00+01:00,2724.593925
2027,WS003,01-18 04:00:00+01:00,2802.505729
2027,WS003,01-18 05:00:00+01:00,3027.337907
2027,WS003,01-18 06:00:00+01:00,3407.513615
2027,WS003,01-18 07:00:00+01:00,3758.29974
2027,WS003,01-18 08:00:00+01:00,3950.0337
2027,WS003,01-18 09:00:00+01:00,4083.766236
2027,WS003,01-18 10:00:00+01:00,4078.893118
2027,WS003,01-18 11:00:00+01:00,4095.241505
2027,WS003,01-18 12:00:00+01:00,4104.657738
2027,WS003,01-18 13:00:00+01:00,4078.147516
2027,WS003,01-18 14:00:00+01:00,4002.38856
2027,WS003,01-18 15:00:00+01:00,3997.894934
2027,WS003,01-18 16:00:00+01:00,4004.343147
2027,WS003,01-18 17:00:00+01:00,4126.538717
2027,WS003,01-18 18:00:00+01:00,4257.032982
2027,WS003,01-18 19:00:00+01:00,4248.715651
2027,WS003,01-18 20:00:00+01:00,4104.937962
2027,WS003,01-18 21:00:00+01:00,3838.386016
2027,WS003,01-18 22:00:00+01:00,3546.441924
2027,WS003,01-18 23:00:00+01:00,3259.907437
2027,WS003,01-19 00:00:00+01:00,3017.684171
2027,WS003,01-19 01:00:00+01:00,2850.822414
